date,market,symbol,company,industry
2025-10-23,TSE,6954,ファナック,電気機器
2025-10-24,TSE,4063,信越化学工業,化学
2025-10-24,TSE,4519,中外製薬,医薬品
2025-10-29,TSE,7203,トヨタ自動車,輸送用機器
2025-10-29,TSE,4568,第一三共,医薬品
2025-10-30,TSE,9766,コナミグループ,情報・通信業
2025-10-30,TSE,6971,京セラ,電気機器
2025-10-31,TSE,9433,KDDI,情報・通信業
2025-10-31,TSE,6762,TDK,電気機器
2025-11-03,TSE,6988,日東電工,化学
2025-11-06,TSE,4543,テルモ,精密機器
2025-11-06,TSE,7832,バンダイナムコHD,その他製品
2025-11-10,TSE,6758,ソニーグループ,電気機器
2025-11-11,TSE,6367,ダイキン工業,機械
2025-11-11,TSE,7974,任天堂,その他製品
2025-11-17,TSE,6098,リクルートホールディングス,サービス業
