"date","market","symbol","company","fiscal_period","industry","Fundamental","Direction","Sentiment","Risk","summary","eps_forecast","eps_4q_ago","eps_current","eps_4q_prior_period","surp_eps_4q_ago","surp_eps_current","surp_eps_4q_prior_period","sales_forecast","sales_4q_ago","sales_current","sales_4q_prior_period","surp_4q_ago","surp_current","surp_4q_prior_period"
2026-02-05,"NASDAQ","GOOG","Alphabet (Google)","Q4 '25","ソフトウェア、テクノロジー","up","up","downgrade",78,"需要は堅調、ガイダンスは上向き。",2.64,2.15,2.87,2.12,1.45,26.61,14.96,111.3,96.47,102.35,88.27,-0.24,2.4,2.17
2026-02-05,"TSE",7832,"バンダイナムコHD","Q3 '25","その他製品","up","up","unchanged",64,"利益は伸びたが、ガイダンスは慎重。",60.93,73.33,62.69,71.34,54.69,2.05,47.64,338.59,344.27,343.39,330.76,9.75,4.53,15.96
2026-02-06,"NASDAQ","AMZN","Amazon","Q4 '25","小売り","up","up","downgrade",77,"サプライズは小さく、見通しは中立。",1.97,1.86,1.95,1.43,25.14,24.34,25.43,211.47,187.79,180.17,158.88,0.24,1.27,1.02
2026-02-06,"TSE",8035,"東京エレクトロン","Q3 '25","電気機器","up","up","downgrade",86,"需要は堅調、ガイダンスは上向き。",277.01,341.74,270.18,255.45,21.2,3.25,14.39,611.72,654.54,630.08,566.55,8.01,4.23,3.31
2026-02-06,"TSE",9433,"KDDI","Q3 '25","情報・通信業","flat","flat","unchanged",58,"利益は伸びたが、ガイダンスは慎重。",51.4,46.16,53.94,43.12,-0.92,12.05,-1.94,1580,1510,1530,1470,0.07,-0.56,-0.54
2026-02-06,"TSE",7203,"トヨタ自動車","Q3 '25","輸送用機器","down","down","downgrade",70,"売上とEPSが底堅く、次回見通しも安定。",67.65,165.8,71.51,43.16,68.09,42.8,-41.14,12850,12390,12380,11440,3.66,1.83,-0.2
2026-02-09,"TSE",6098,"リクルートホールディングス","Q3 '25","サービス業","down","up","upgrade",62,"サプライズは小さく、見通しは中立。",89.22,79.98,89.15,76.52,20.25,6.24,11.79,933.36,897,914.75,897.15,-0.8,1.85,2.12
2026-02-12,"TSE",9984,"ソフトバンクグループ","Q3 '25","情報・通信業","flat","down","downgrade",63,"利益は伸びたが、ガイダンスは慎重。",27.4,-63.49,437.45,200.76,-206.72,962.1,688.59,1960,1830,1920,1770,0.72,0.74,-1.07
2026-02-13,"TSE",4543,"テルモ","Q3 '25","精密機器","flat","flat","downgrade",72,"利益は伸びたが、ガイダンスは慎重。",22.57,23.96,23.76,19.75,-6.52,-3.02,-10.72,283.97,263.55,274.96,250.49,1.31,4.15,1.01
2026-02-13,"TSE",6758,"ソニーグループ","Q3 '25","電気機器","flat","flat","unchanged",60,"売上とEPSが底堅く、次回見通しも安定。",61.76,59.11,54.24,53.26,30.25,8.76,40.22,3680,4410,3110,2910,17.07,2.6,-3.25
2026-02-19,"NASDAQ","WMT","Walmart","Q4 '25","小売り、食品、ドラッグ","flat","up","downgrade",58,"サプライズは小さく、見通しは中立。",0.72,0.66,0.62,0.58,2.18,3.18,8.87,190.29,180.55,179.5,169.6,0.27,1.16,1.14
2026-02-23,"NYSE","BRK.B","Berkshire Hathaway","Q4 '25","保険、製造業、金融、投資","flat","down","downgrade",41,"サプライズは小さく、見通しは中立。",5.5,6.74,6.26,4.68,45.86,9.39,-4.33,96.98,94.92,94.97,93,2.99,-0.68,0.83
2026-02-25,"NASDAQ","NVDA","NVIDIA","Q4 '25","半導体、テクノロジー","down","up","upgrade",67,"サプライズは小さく、見通しは中立。",1.52,0.89,1.3,0.81,4.96,3.1,8.26,65.56,39.33,57.01,35.08,3.23,3.72,5.76
2026-03-05,"NASDAQ","COST","Costco Wholesale","Q2 '26","小売り","down","down","upgrade",78,"売上とEPSが底堅く、次回見通しも安定。",4.51,4.02,4.5,4.04,-1.77,5.33,6.7,68.93,63.72,67.31,62.15,0.97,0.24,0.16
2026-03-05,"NASDAQ","AVGO","Broadcom (AVGO)","Q1 '26","半導体、テクノロジー","down","flat","unchanged",52,"売上とEPSが底堅く、次回見通しも安定。",2.02,1.6,1.95,1.42,6.12,4.43,1.88,19.21,14.92,18.02,14.05,2.05,3.14,-0.1
2026-03-16,"NYSE","ORCL","Oracle",,"ソフトウェア、テクノロジー","up","up","unchanged",68,"サプライズは小さく、見通しは中立。",9.75,8.42,10.27,8.42,,,,95.8,82.6,94.2,82.6,,,
2026-04-09,"TSE",9983,"ファーストリテイリング",,"小売業","up","up","upgrade",65,"需要は堅調、ガイダンスは上向き。",391.7,386.15,421.18,386.15,,,,985.4,825.4,985.5,825.4,,,
2026-04-14,"NYSE","JNJ","Johnson & Johnson",,"医薬品","up","flat","upgrade",69,"需要は堅調、ガイダンスは上向き。",2.41,2.02,2.46,2.02,,,,93.2,80.6,91.9,80.6,,,
2026-04-14,"NYSE","JPM","JPMorgan Chase",,"銀行、金融","flat","up","unchanged",80,"需要は堅調、ガイダンスは上向き。",1.26,1.55,1.32,1.55,,,,93.5,85.1,88.5,85.1,,,
2026-04-15,"NYSE","BAC","Bank of America",,"銀行、金融","up","up","upgrade",58,"利益は伸びたが、ガイダンスは慎重。",4.78,5.07,5.09,5.07,,,,84.4,81.6,85.8,81.6,,,
2026-04-16,"NYSE","TSM","TSMC",,"半導体、テクノロジー","down","down","unchanged",86,"売上成長は鈍化、コスト圧力が残る。",5.56,7.12,6.04,7.12,,,,98.7,78.2,95.8,78.2,,,
2026-04-17,"NYSE","PG","Procter & Gamble",,"消費財","flat","down","downgrade",59,"売上成長は鈍化、コスト圧力が残る。",2.73,2.56,2.54,2.56,,,,38.5,32.4,38.7,32.4,,,
2026-04-21,"NASDAQ","NFLX","Netflix",,"インターネット、テクノロジー","up","up","upgrade",60,"売上とEPSが底堅く、次回見通しも安定。",8.05,7.83,8.31,7.83,,,,11,9.4,11.5,9.4,,,
2026-04-22,"NYSE","UNH","UnitedHealth",,"ヘルスケアサービス","flat","flat","downgrade",76,"売上とEPSが底堅く、次回見通しも安定。",9.14,10.1,9.81,10.1,,,,58,58.1,64,58.1,,,
2026-04-23,"TSE",6971,"京セラ","Q4 '25","電気機器","flat","flat","downgrade",42,"需要は堅調、ガイダンスは上向き。",11.3,4.1,30.97,-12.6,,,,498.28,522.4,530.61,493.47,3.67,3.95,-2.45
2026-04-23,"NYSE","MA","Mastercard","Q1 '26","金融サービス","down","up","unchanged",69,"需要は堅調、ガイダンスは上向き。",4.39,3.73,4.76,3.82,4.27,12.17,3.4,8.27,7.3,8.81,7.49,2.38,0.37,1.4
2026-04-23,"TSE",4568,"第一三共","Q4 '25","医薬品","down","up","downgrade",48,"利益は伸びたが、ガイダンスは慎重。",59.74,46.31,46.79,32.82,138.01,19.52,4.28,595.99,518.69,558.11,484.84,5.43,1.49,2.19
2026-04-24,"TSE",6762,"TDK","Q4 '25","電気機器","flat","flat","unchanged",46,"利益は伸びたが、ガイダンスは慎重。",15.3,3.31,36.91,29.07,-59.08,9.38,3.61,566.11,534.26,677.56,581.04,5.75,6.56,1.48
2026-04-24,"TSE",6988,"日東電工",,"化学","down","flat","downgrade",70,"需要は堅調、ガイダンスは上向き。",105.79,95.14,97.24,95.14,,,,213.6,221.9,235.6,221.9,,,
2026-04-24,"TSE",6857,"アドバンテスト","Q4 '25","電気機器","flat","down","downgrade",75,"売上とEPSが底堅く、次回見通しも安定。",123.89,54.46,108.41,70.29,-30.14,45.17,12.19,264.32,232.3,273.8,218.15,12.52,25.31,15.35
2026-04-24,"TSE",4519,"中外製薬",,"医薬品","up","flat","downgrade",58,"売上成長は鈍化、コスト圧力が残る。",258.89,288.35,258.13,288.35,,,,1023.8,773.6,951,773.6,,,
2026-04-28,"NYSE","V","Visa","Q2 '26","金融","up","flat","unchanged",48,"需要は堅調、ガイダンスは上向き。",3.09,2.76,3.17,2.75,2.99,0.88,3.33,10.73,9.59,10.9,9.51,0.45,1.99,1.73
2026-04-28,"NASDAQ","TSLA","Tesla",,"自動車、テクノロジー","up","up","unchanged",84,"売上とEPSが底堅く、次回見通しも安定。",3.61,2.98,3.36,2.98,,,,70.7,59.7,66.1,59.7,,,
2026-04-28,"NASDAQ","MSFT","Microsoft","Q3 '26","ソフトウェア、テクノロジー","flat","down","upgrade",67,"利益は伸びたが、ガイダンスは慎重。",4.03,3.46,4.14,3.23,7.38,6,3.54,81.3,70.07,81.27,69.63,2.38,1.2,1.11
2026-04-29,"TSE",6954,"ファナック",,"電気機器","up","down","unchanged",57,"サプライズは小さく、見通しは中立。",453.14,478.02,431.89,478.02,,,,810.3,790.1,848.7,790.1,,,
2026-04-29,"TSE",4063,"信越化学工業",,"化学","flat","flat","upgrade",78,"売上とEPSが底堅く、次回見通しも安定。",403.29,498.91,424.82,498.91,,,,834.3,822.9,882.6,822.9,,,
2026-04-29,"NASDAQ","META","Meta Platforms",,"テクノロジー","up","up","upgrade",49,"利益は伸びたが、ガイダンスは慎重。",6.93,7,7.36,7,,,,39,41.6,42.3,41.6,,,
2026-04-30,"NASDAQ","AAPL","Apple","Q2 '26","テクノロジー","up","flat","downgrade",74,"売上とEPSが底堅く、次回見通しも安定。",1.92,1.65,2.84,2.4,1.39,6.23,2.23,108.17,95.36,143.76,124.3,0.86,3.88,0.03
2026-05-08,"TSE",9766,"コナミグループ",,"情報・通信業","down","flat","unchanged",49,"サプライズは小さく、見通しは中立。",366.83,416.32,380.83,416.32,,,,873.1,742.6,804.7,742.6,,,
,"TSE",7974,"任天堂","Q3 '25","その他製品","up","flat","unchanged",64,"利益は伸びたが、ガイダンスは慎重。",127.9,110.4,88.39,23.8,-8.95,43.36,-42.98,830.53,432.92,527.2,276.66,-11.45,13.55,1.22
,"NYSE","MRK","Merck","Q4 '25","医薬品","up","down","unchanged",74,"売上成長は鈍化、コスト圧力が残る。",2.01,1.72,2.58,1.57,6.88,9.21,5.8,16.2,15.62,17.28,16.66,0.91,1.75,1.11
,"TSE",6367,"ダイキン工業","Q3 '25","機械","up","down","upgrade",55,"利益は伸びたが、ガイダンスは慎重。",197.88,119.72,271.18,302.47,-42.36,3.57,19.43,1160,1100,1260,1240,-0.63,1.1,4.99
,"NYSE","LLY","Eli Lilly","Q4 '25","医薬品、バイオテクノロジー","flat","down","unchanged",71,"売上とEPSが底堅く、次回見通しも安定。",6.95,5.32,7.02,1.18,5.45,23.33,-16.97,17.92,13.53,17.6,11.44,0.44,9.64,-5.44
