date,market,symbol,company,fiscal_period,industry,q0_eps_actual,q0_eps_forecast,q0_eps_surprise,q0_sales_actual,q0_sales_forecast,q0_sales_surprise,q1_eps_actual,q1_eps_forecast,q1_eps_surprise,q1_sales_actual,q1_sales_forecast,q1_sales_surprise,q2_eps_actual,q2_eps_forecast,q2_eps_surprise,q2_sales_actual,q2_sales_forecast,q2_sales_surprise,q3_eps_actual,q3_eps_forecast,q3_eps_surprise,q3_sales_actual,q3_sales_forecast,q3_sales_surprise,q4_eps_actual,q4_eps_forecast,q4_eps_surprise,q4_sales_actual,q4_sales_forecast,q4_sales_surprise,q5_eps_actual,q5_eps_forecast,q5_eps_surprise,q5_sales_actual,q5_sales_forecast,q5_sales_surprise,q6_eps_actual,q6_eps_forecast,q6_eps_surprise,q6_sales_actual,q6_sales_forecast,q6_sales_surprise,q7_eps_actual,q7_eps_forecast,q7_eps_surprise,q7_sales_actual,q7_sales_forecast,q7_sales_surprise
2026-04-27,TSE,6988,日東電工,Q4 '25,化学,41.31,46.7,-11.53,241.98,243.09,-0.46,54.57,52.92,3.11,272.63,259.08,5.23,55.64,62.33,-10.73,267.38,259.23,3.14,45.68,42.31,7.97,246.19,241.05,2.13,40.9,32.12,27.33,235.59,229.31,2.74,40.92,57.82,-29.23,256.56,254.35,0.87,62.47,49.53,26.12,272.41,267.9,1.68,51.45,53.15,-3.19,249.31,232.54,7.21
2026-04-27,TSE,6857,アドバンテスト,Q4 '25,電気機器,174.55,141.46,23.39,328.07,293.74,11.69,108.41,74.68,45.17,273.8,218.5,25.31,109.05,106.03,2.85,262.96,245.47,7.12,123.14,89.51,37.56,263.78,229.23,15.07,54.46,77.96,-30.14,232.3,206.44,12.52,70.29,62.65,12.19,218.15,189.12,15.35,61.57,38.28,60.85,190.48,154.56,23.24,32.35,18.4,75.8,138.72,119.88,15.72
2026-04-28,TSE,6762,TDK,Q4 '25,電気機器,7.61,13.76,-44.7,646.25,608.2,6.26,36.78,33.74,9.0,675.2,636.14,6.14,36.85,32.74,12.56,647.61,594.65,8.91,21.85,21.86,-0.07,535.75,536.13,-0.07,3.31,8.09,-59.08,534.26,505.22,5.75,29.07,28.06,3.61,581.04,572.59,1.48,24.29,26.41,-8.04,570.69,578.04,-1.27,31.43,16.15,94.57,518.81,520.33,-0.29
2026-04-28,TSE,4063,信越化学工業,Q4 '25,化学,48.57,54.54,-10.95,639.9,621.04,3.04,67.51,64.22,5.12,649.48,661.35,-1.79,70.13,64.97,7.94,655.97,640.0,2.5,66.48,60.5,9.88,628.55,619.0,1.54,51.76,68.89,-24.87,631.5,619.57,1.93,69.93,75.76,-7.69,663.24,642.64,3.2,75.62,73.63,2.71,668.53,656.15,1.89,72.21,63.12,14.4,597.93,599.52,-0.26
2026-04-29,NYSE,V,Visa,Q2 '26,金融,3.31,3.1,6.79,11.23,10.75,4.46,3.17,3.14,0.88,10.9,10.69,1.99,2.98,2.97,0.4,10.72,10.62,0.99,2.98,2.85,4.68,10.17,9.85,3.29,2.76,2.68,2.99,9.59,9.55,0.45,2.75,2.66,3.33,9.51,9.35,1.73,2.71,2.58,5.03,9.62,9.49,1.39,2.42,2.42,0.08,8.9,8.92,-0.21
2026-04-30,TSE,8035,東京エレクトロン,Q4 '25,電気機器,468.67,413.9,13.23,711.82,689.84,3.19,258.59,268.74,-3.78,552.05,598.12,-7.7,270.18,261.67,3.25,630.08,604.48,4.23,257.13,258.38,-0.48,549.59,572.39,-3.98,311.99,284.99,9.47,655.4,638.88,2.59,341.74,281.96,21.2,654.54,606.02,8.01,255.45,223.31,14.39,566.55,548.43,3.31,273.22,217.33,25.72,555.07,501.97,10.58
2026-04-30,NASDAQ,AMZN,Amazon,Q1 '26,小売り,2.78,1.63,70.21,181.52,177.28,2.39,1.95,1.97,-1.0,213.39,211.45,0.91,1.95,1.57,24.34,180.17,177.91,1.27,1.68,1.33,26.44,167.7,162.43,3.25,1.59,1.37,16.38,155.67,155.15,0.33,1.86,1.49,25.14,187.79,187.34,0.24,1.43,1.14,25.43,158.88,157.28,1.02,1.26,1.03,21.86,147.98,148.67,-0.46
2026-04-30,NYSE,LLY,Eli Lilly,Q1 '26,医薬品、バイオテクノロジー,8.55,6.97,22.64,19.8,17.82,11.11,7.54,6.91,9.1,19.29,17.94,7.51,7.02,5.69,23.33,17.6,16.05,9.64,6.31,5.6,12.7,15.56,14.7,5.8,3.34,3.26,2.51,12.73,12.67,0.48,5.32,5.04,5.45,13.53,13.47,0.44,1.18,1.42,-16.97,11.44,12.1,-5.44,3.92,2.74,42.93,11.3,9.98,13.24
2026-04-30,NYSE,MA,Mastercard,Q1 '26,金融サービス,4.6,4.41,4.37,8.4,8.26,1.68,4.76,4.24,12.17,8.81,8.77,0.37,4.38,4.32,1.47,8.6,8.53,0.79,4.15,4.03,2.99,8.13,7.93,2.57,3.73,3.58,4.27,7.3,7.13,2.38,3.82,3.69,3.4,7.49,7.39,1.4,3.89,3.74,3.9,7.37,7.27,1.42,3.59,3.51,2.29,6.96,6.85,1.59
2026-04-30,NASDAQ,META,Meta Platforms,Q1 '26,テクノロジー,10.44,6.7,55.89,56.31,55.56,1.36,8.88,8.21,8.13,59.89,58.46,2.45,1.05,6.72,-84.38,51.24,49.51,3.5,7.14,5.88,21.36,47.52,44.82,6.01,6.43,5.23,22.83,42.31,41.34,2.36,8.02,6.76,18.71,48.38,47.0,2.94,6.03,5.22,15.43,40.59,40.2,0.96,5.16,4.72,9.39,39.07,38.26,2.12
