date,time,currency,event,impact
2025-06-02,08:50,JPY,設備投資 前年比,★
2025-06-02,09:00,USD,FOMCメンバー ウォーラー氏講演,★★
2025-06-02,09:30,JPY,製造業PMI改定値,★
2025-06-02,22:45,USD,製造業PMI改定値,★
2025-06-02,23:00,USD,ISM製造業PMI,★★★
2025-06-02,23:00,USD,ISM製造業PMI価格指数,★★
2025-06-02,23:00,USD,建設支出 前月比,★
2025-06-02,23:15,USD,FOMCメンバー ローガン氏講演,★
2025-06-03,01:45,USD,FOMCメンバー グールズビー氏講演,★
2025-06-03,02:00,USD,FRB議長 パウエル氏講演,★★★
2025-06-03,08:50,JPY,マネタリーベース 前年比,★
2025-06-03,12:35,JPY,10年債入札,★
2025-06-03,16:50,JPY,日銀総裁 植田氏講演,★★★
2025-06-03,23:00,USD,JOLTS求人件数,★★★
2025-06-03,23:00,USD,製造業新規受注 前月比,★
2025-06-03,23:04,USD,RCM/TIPP経済楽観指数,★
2025-06-04,01:45,USD,FOMCメンバー グールズビー氏講演,★
2025-06-04,02:00,USD,FOMCメンバー クック氏講演,★
2025-06-04,04:30,USD,FOMCメンバー ローガン氏講演,★
2025-06-04,05:30,USD,API週間石油統計報告,★
2025-06-04,05:30,USD,ワーズ社自動車販売台数合計,★
2025-06-04,21:15,USD,ADP非農業部門雇用者数変化,★★★
2025-06-04,21:30,USD,FOMCメンバー ボスティック氏講演,★
2025-06-04,21:30,USD,FOMCメンバー クック氏講演,★
2025-06-04,22:45,USD,サービス業PMI改定値,★
2025-06-04,23:00,USD,ISM非製造業PMI,★★★
2025-06-04,23:30,USD,原油在庫,★
2025-06-05,03:00,USD,ベージュブック,★
2025-06-05,08:30,JPY,現金給与総額 前年比,★
2025-06-05,12:35,JPY,30年債入札,★
2025-06-05,20:30,USD,チャレンジャー人員削減数 前年比,★
2025-06-05,21:30,USD,失業保険申請件数,★★★
2025-06-05,21:30,USD,非農業部門労働生産性改定値 前期比,★
2025-06-05,21:30,USD,単位労働費用改定値 前期比,★
2025-06-05,21:30,USD,貿易収支,★
2025-06-05,23:30,USD,天然ガス貯蔵量,★
2025-06-06,01:00,USD,FOMCメンバー クーグラー氏講演,★
