date,time,currency,event,impact
2025-10-01,00:00,USD,トランプ大統領 発言,★★
2025-10-01,02:30,USD,FOMC ゴールズビー理事 発言,★
2025-10-01,04:30,USD,FOMC ゴールズビー理事 発言,★
2025-10-01,05:30,USD,API 週間統計速報,★
2025-10-01,08:10,USD,FOMC ローガン理事 発言,★
2025-10-01,08:50,JPY,短観・製造業業況判断指数,★
2025-10-01,08:50,JPY,短観・非製造業業況判断指数,★
2025-10-01,09:30,JPY,製造業PMI（確報値）,★
2025-10-01,21:15,USD,ADP民間雇用者数,★★★
2025-10-01,22:45,USD,製造業PMI（確報値）,★
2025-10-01,23:00,USD,ISM製造業景況指数,★★★
2025-10-01,23:00,USD,ISM製造業仕入価格指数,★★
2025-10-01,00:00,USD,ウォーズ自動車販売台数,★
2025-10-01,23:30,USD,原油在庫,★
2025-10-02,01:15,USD,FOMC バーキン理事 発言,★
2025-10-02,06:00,USD,FOMC ゴールズビー理事 発言,★
2025-10-02,08:50,JPY,マネタリーベース（前年比）,★
2025-10-02,12:35,JPY,10年国債入札,★
2025-10-02,14:00,JPY,消費者信頼感指数,★
2025-10-02,19:10,USD,チャレンジャー人員削減数（前年比）,★
2025-10-02,23:30,USD,FOMC ローガン理事 発言,★
2025-10-02,23:30,USD,天然ガス在庫,★
2025-10-03,03:30,USD,FOMC ゴールズビー理事 発言,★
2025-10-03,08:30,JPY,失業率,★
2025-10-03,10:05,JPY,日銀 植田総裁 発言,★★★
2025-10-03,19:05,USD,FOMC ウィリアムズ理事 発言,★
2025-10-03,21:30,USD,FOMC ゴールズビー理事 発言,★
2025-10-03,22:35,USD,FOMC ミラン理事 発言,★
2025-10-03,22:45,USD,サービス業PMI（確報値）,★
2025-10-03,23:00,USD,ISM非製造業景況指数,★★★
2025-10-04,02:30,USD,FOMC ローガン理事 発言,★
2025-10-04,02:40,USD,FOMC ジェファーソン理事 発言,★
2025-10-04,04:30,USD,FOMC ミラン理事 発言,★
2025-10-07,06:00,USD,FOMC シュミッド理事 発言,★
2025-10-07,08:30,JPY,家計支出（前年比）,★
2025-10-07,12:35,JPY,30年国債入札,★
2025-10-07,14:00,JPY,景気先行指数,★
2025-10-07,23:00,USD,FOMC ボスティック理事 発言,★
2025-10-07,23:02,USD,RCM/TIPP 景況感指数,★
2025-10-07,23:05,USD,FOMC ボウマン理事 発言,★
2025-10-07,23:45,USD,FOMC ミラン理事 発言,★
2025-10-08,00:30,USD,FOMC カシュカリ理事 発言,★
2025-10-08,04:00,USD,消費者信用残高（前月比）,★
2025-10-08,05:05,USD,FOMC ミラン理事 発言,★
2025-10-08,05:30,USD,API 週間統計速報,★
2025-10-08,08:30,JPY,現金給与総額（前年比）,★
2025-10-08,08:50,JPY,経常収支,★
2025-10-08,14:00,JPY,景気ウォッチャー調査,★
2025-10-08,22:20,USD,FOMC ムサレム理事 発言,★
2025-10-08,22:30,USD,FOMC バー理事 発言,★
2025-10-08,23:00,USD,FOMC ゴールズビー理事 発言,★
2025-10-08,23:30,USD,原油在庫,★
2025-10-09,02:01,USD,10年国債入札,★
2025-10-09,02:15,USD,FOMC ローガン理事 発言,★
2025-10-09,03:00,USD,FOMC 議事要旨,★★★
2025-10-09,04:15,USD,FOMC カシュカリ理事 発言,★
2025-10-09,06:45,USD,FOMC バー理事 発言,★
2025-10-09,14:58,JPY,工作機械受注（速報・前年比）,★
2025-10-09,21:30,USD,FRB パウエル議長 発言,★★
2025-10-09,21:35,USD,FOMC ボウマン理事 発言,★
2025-10-09,23:30,USD,天然ガス在庫,★
2025-10-10,01:45,USD,FOMC バー理事 発言,★
2025-10-10,02:01,USD,30年国債入札,★
2025-10-10,04:45,USD,FOMC ボウマン理事 発言,★
2025-10-10,08:50,JPY,銀行貸出残高（前年比）,★
2025-10-10,08:50,JPY,生産者物価指数（前年比）,★
2025-10-10,10:40,USD,FOMC デイリー理事 発言,★
2025-10-10,22:45,USD,FOMC ゴールズビー理事 発言,★
2025-10-10,23:00,USD,ミシガン大 消費者信頼感（速報）,★★★
2025-10-10,23:00,USD,ミシガン大 インフレ期待（速報）,★★★
2025-10-11,02:00,USD,FOMC ムサレム理事 発言,★
2025-10-13,00:00,JPY,銀行休業日,
2025-10-13,00:00,USD,銀行休業日,
2025-10-14,01:55,USD,FOMC ポールソン理事 発言,★
2025-10-14,08:50,JPY,マネーサプライM2（前年比）,★
2025-10-14,19:00,USD,NFIB中小企業楽観指数,★
2025-10-14,21:45,USD,FOMC ボウマン理事 発言,★
2025-10-15,01:20,USD,FRB パウエル議長 発言,★★★
2025-10-15,04:25,USD,FOMC ウォーラー理事 発言,★
2025-10-15,04:30,USD,FOMC コリンズ理事 発言,★
2025-10-15,13:30,JPY,鉱工業生産（改定・前月比）,★
2025-10-15,21:30,USD,NY連銀製造業景況指数,★★
2025-10-15,22:30,USD,FOMC ミラン理事 発言,★
2025-10-16,01:30,USD,FOMC ミラン理事 発言,★
2025-10-16,02:00,USD,FOMC ウォーラー理事 発言,★
2025-10-16,03:00,USD,ベージュブック,★
2025-10-16,03:30,USD,FOMC シュミッド理事 発言,★
2025-10-16,05:30,USD,API 週間統計速報,★
2025-10-16,08:50,JPY,機械受注（前月比）,★
2025-10-16,13:30,JPY,第3次産業活動指数（前月比）,★
2025-10-16,21:30,USD,フィラデルフィア連銀製造業景況指数,★★
2025-10-16,22:00,USD,FOMC ウォーラー理事 発言,★★
2025-10-16,22:00,USD,FOMC バー理事 発言,★
2025-10-16,22:00,USD,FOMC ミラン理事 発言,★
2025-10-16,23:00,USD,FOMC ボウマン理事 発言,★
2025-10-16,23:00,USD,NAHB住宅市場指数,★
2025-10-16,23:30,USD,天然ガス在庫,★
2025-10-17,01:00,USD,原油在庫,★
2025-10-17,03:00,USD,連邦財政収支,★
2025-10-17,05:15,USD,FOMC ミラン理事 発言,★
2025-10-17,07:00,USD,FOMC カシュカリ理事 発言,★
2025-10-18,01:15,USD,FOMC ムサレム理事 発言,★
2025-10-21,22:00,USD,FOMC ウォーラー理事 発言,★
2025-10-22,04:30,USD,FOMC ウォーラー理事 発言,★
2025-10-22,05:30,USD,API 週間統計速報,★
2025-10-22,08:50,JPY,貿易収支,★
2025-10-22,23:30,USD,原油在庫,★
2025-10-23,05:00,USD,FOMC バー理事 発言,★
2025-10-23,23:00,USD,中古住宅販売件数,★★
2025-10-23,23:25,USD,FOMC バー理事 発言,★
2025-10-23,23:30,USD,天然ガス在庫,★
2025-10-24,04:00,USD,トランプ大統領 発言,★★
2025-10-24,08:30,JPY,全国消費者物価指数（前年比）,★
2025-10-24,09:30,JPY,製造業PMI（速報値）,★
2025-10-24,21:30,USD,コアCPI（前月比）,★★★
2025-10-24,21:30,USD,CPI（前月比）,★★★
2025-10-24,21:30,USD,CPI（前年比）,★★★
2025-10-24,22:45,USD,製造業PMI（速報値）,★★★
2025-10-24,22:45,USD,サービス業PMI（速報値）,★★★
2025-10-24,23:00,USD,ミシガン大 消費者信頼感（改定）,★
2025-10-24,23:00,USD,ミシガン大 インフレ期待（改定）,★
2025-10-27,08:50,JPY,企業サービス価格指数（前年比）,★
2025-10-28,14:00,JPY,日銀 コアCPI（前年比）,★
2025-10-28,22:00,USD,住宅価格指数（前月比）,★
2025-10-28,22:00,USD,S&P/ケース・シラー住宅価格指数（前年比）,★
2025-10-28,22:59,USD,リッチモンド連銀製造業指数,★★
2025-10-28,23:00,USD,コンファレンスボード消費者信頼感,★★
2025-10-29,05:30,USD,API 週間統計速報,★
2025-10-29,14:00,JPY,消費者信頼感指数,★
2025-10-29,23:00,USD,中古住宅販売契約（前月比）,★★
2025-10-29,23:30,USD,原油在庫,★
2025-10-30,03:00,USD,フェデラルファンド金利,★★★
2025-10-30,03:00,USD,FOMC声明,★★★
2025-10-30,03:30,USD,FOMC記者会見,★★★
2025-10-30,00:00,JPY,日銀政策金利,★★★
2025-10-30,00:00,JPY,金融政策決定会合声明,★★★
2025-10-30,00:00,JPY,日銀展望レポート,★★★
2025-10-30,00:00,JPY,日銀記者会見,★★★
2025-10-30,22:55,USD,FOMC ボウマン理事 発言,★
2025-10-30,23:30,USD,天然ガス在庫,★
2025-11-01,01:00,USD,FOMC委員ボスティック氏講演,★
2025-11-01,01:00,USD,FOMC委員ハマンク氏講演,★
2025-11-02,16:00,USD,夏時間への移行,
2025-11-03,00:00,JPY,銀行休業日,
2025-11-03,23:45,USD,製造業PMI（確報値）,★
2025-11-04,00:00,USD,ISM製造業PMI,★★★
2025-11-04,00:00,USD,ISM製造業価格指数,★★
2025-11-04,00:00,USD,FOMC委員グールズビー氏講演,★
2025-11-04,00:00,USD,ワーズ自動車販売台数（総計）,★
2025-11-04,02:00,USD,FOMC委員デイリー氏講演,★
2025-11-04,04:00,USD,FOMC委員クック氏講演,★
2025-11-04,04:00,USD,上級貸出担当者意見調査,★
2025-11-04,09:30,JPY,製造業PMI（確報値）,★
2025-11-04,20:35,USD,FOMC委員ボーマン氏講演,★
2025-11-05,00:01,USD,RCM/TIPP経済楽観度指数,★
2025-11-05,06:30,USD,API週間統計報告,★
2025-11-05,08:50,JPY,マネタリーベース（前年比）,★
2025-11-05,08:50,JPY,金融政策決定会合議事要旨,★
2025-11-05,12:35,JPY,10年債入札,★
2025-11-05,22:15,USD,ADP非農業部門雇用者数変化,★★★
2025-11-05,23:45,USD,サービス部門PMI（確報値）,★
2025-11-06,00:00,USD,ISM非製造業PMI,★★★
2025-11-06,00:30,USD,原油在庫,★
2025-11-06,03:00,USD,トランプ大統領講演,★★
2025-11-06,08:30,JPY,FOMC委員バー氏講演,★
