"date","name","evaluation","domain","Period","title","link"
2025-12-03,"Jan Hatzius",4,"Macro","中期","Jan Hatzius は「12月の利下げはほぼ確実」で、2026年は「1月に一時停止→3月・6月に利下げ」し、FF金利が「3.0–3.25%」まで低下する見通しを示しています（＝景気減速を深刻化させずに緩和が進む想定）。","https://www.goldmansachs.com/insights/articles/the-outlook-for-fed-rate-cuts-in-2026"
2025-12-19,"Jan Hatzius",4,"Macro","中期","世界成長はコンセンサス超（世界2.8% vs 2.5%）、特に米国をコンセンサスより強気（米国2.6% vs 2.0%）としつつ、インフレは沈静化・2026年に利下げ余地（FRB 50bp）を示唆。雇用は弱含み（“Stagnant Jobs”）で、中国は「輸出・製造業は強いが内需弱い」という混在、ユーロ圏は構造課題あり—という下振れ要因も明示されているので、強気（5）までは行かない。","https://www.goldmansachs.com/insights/articles/the-global-economy-forecast-to-post-sturdy-growth-in-2026"
2025-12-12,"Bruce C. Kasman",2,"Macro","長期","下押し要因（移民減速の遅行的影響、医療費による成長・インフレ押し上げ）を強調","https://globaldatapod.podbean.com/"
2025-12-18,"Bruce C. Kasman",3,"Macro","長期","2026年の市場・景気の大枠ドライバーとして「金融政策のまだら」「AIサイクルの継続」「政治・経済の分極化」を提示し、機会とリスクを多面的に整理","https://marketmatters.podbean.com/e/2026-outlook-what-s-next-for-markets-and-the-global-economy/"
2025-12-08,"Nathan Sheets",3,"Macro","中期","政権寄りの“ハト化”が進むと長期金利が跳ねて逆効果になり得る、という市場メカニズム面の警鐘","https://www.reuters.com/business/fed-could-find-itself-bind-it-sets-stage-powells-successor-2025-12-08/"
2025-12-08,"Nathan Sheets",4,"Macro","長期","2026–27年を**“Goldilocks”**（堅調成長×抑制的インフレ）寄りに見る一方、関税・財政などのリスクを明示","https://www.citigroup.com/global/insights/prospects-for-2026-goldilocks-performance-but-risks-linger"
2025-12-09,"Nathan Sheets",3,"Macro","短期","FOMC内の意見割れ局面で、NY連銀総裁の発言などが議長（Powell）支持のシグナルとして機能する、という“委員会運営”の観察","https://www.whsv.com/2025/12/09/federal-reserve-set-cut-rate-may-signal-pause-come/"
2025-12-18,"Nathan Sheets",4,"Macro","中期","世界成長はトレンド（約3%）近辺、世界インフレは約2%近傍→各国中銀は利下げ方向という整合的ストーリー","https://www.citigroup.com/rcs/citigpa/storage/public/Research-Podcast-Episode-59-Transcript.pdf"
2025-12-15,"Seth Carpenter",2,"Macro","短期","Fedは雇用の鈍化を重視し、（政府閉鎖で遅延した）過去データに“引きずられる形”で2026年1月・4月も利下げに動く、という見立て。","https://www.investing.com/news/economy-news/ghosts-of-past-data-may-drive-fed-to-cut-rates-in-january--morgan-stanley-4407606"
2025-12-22,"Seth Carpenter",3,"Macro","中期","2026年は「序盤弱く、後半持ち直し」の見立て。関税や金融政策の遅行効果を消化すると回復を示唆。政策金利は「来年半ばにかけて中立近辺（3%少し上）まで」下がる方向感。","https://www.furnituretoday.com/research-and-analysis/economic-outlook-for-2026-weak-start-stronger-finish/"
2025-12-23,"Mark Zandi",3,"Macro","短期","米GDPが「AI/データセンター建設（construction）」で押し上げられて見える点を警戒し、実体経済の強さを過大評価しないよう示唆。","https://www.businessinsider.com/ai-bubble-debt-bond-record-issuance-dot-com-crash-tech-2025-12"
2025-12-22,"Mark Zandi",2,"Macro","中期","11月CPI（前年比2.7%）は政府閉鎖の影響で「統計の欠損・遅延・推計（imputation）」が増え、実態より“低めに出ている”と主張。Moody’s側の再推計では前年比で「3.0%据え置き」。","https://www.linkedin.com/posts/mark-zandi-667086350_the-bureau-of-labor-statistics-estimate-activity-7408583180300996609-1zLX"
2025-12-14,"Mark Zandi",3,"Macro","中期","政府閉鎖で統計が欠ける中でも、基調として「実質GDP成長は約2%」「失業率は4.4%（4.5%に丸められる水準）」と説明。一方で「雇用増がほぼ止まり（no hiring）」「若年層の失業率が9%超」など労働市場の脆さを強調。","https://econofact.org/podcast/the-uncertain-and-uneven-economy"
2025-12-14,"Mark Zandi",2,"Equities","中期","株式は「バブルとまでは言わないが割高（overvalued）でフロッシー（frothy）に近い」とし、ベースラインは“1年後も概ね横ばい”を想定。ただし2026年の下振れシナリオとして「15–25%程度の調整が起きても不思議ではない」と明言。","https://econofact.org/wp-content/uploads/2025/12/EFChats-Transcript-Zandi-The-Uncertain-and-Uneven-Economy.pdf"
2025-12-01,"Neil Shearing",4,"Macro","中期","2026年のメインシナリオは「米国が相対的に強く、他地域は出遅れ」。AI投資（インフラ整備の設備投資）が米国成長を押し上げ、米国GDPは2026年+2.5%を見込む一方、欧州は投資・普及の遅れで低成長（英1.2%、ユーロ圏1.0%）を想定。","https://www.capitaleconomics.com/blog/five-macro-themes-will-shape-world-2026"
2025-12-01,"Neil Shearing",5,"Equities","長期","AI楽観で米株バリュエーションは高いが「1990年代後半ほど極端ではない」＋利益成長は底堅いとして、S&P 500は2026年末に8,000まで上昇する想定","https://www.capitaleconomics.com/blog/five-macro-themes-will-shape-world-2026"
2025-12-08,"Neil Shearing",3,"Macro","中期","マクロに効くのは“単発ファンド破綻”ではなく「信用市場全体の凍結」だと線引き。インフレ再燃（需要超過 or 供給制約）にも警戒。","https://www.capitaleconomics.com/blog/key-risks-2026-what-could-go-wrong-and-right-next-year"
2025-12-15,"Neil Shearing",3,"Macro","長期","2025年の主要テーマを整理しつつ、2026年の論点を提示。関税は二国間貿易を歪めても、世界の貿易収支は「貯蓄と投資」といった構造要因に左右され、世界的な不均衡は大きくは縮まない見立て。","https://www.capitaleconomics.com/blog/holiday-reading-and-2025-themes-will-shape-coming-year"
2025-12-18,"Ellen Zentner",4,"Macro","中期","政府閉鎖でCPIが歪む可能性を踏まえつつも、Fedは「様子見（wait-and-see）」の姿勢で、インフレが望ましい方向に動いていることを確認したと説明。これにより、信頼性の高いデータが揃えば追加利下げの余地がやや広がる、という見方。","https://www.swissinfo.ch/eng/wall-street-gets-relief-rally-after-cpi-surprise%3A-markets-wrap/90657544"
2025-12-10,"Ellen Zentner",2,"Macro","短期","12月FOMCの利下げはハト派に見せつつ内容はタカ派寄りで、追加利下げの可能性は残すがパウエル議長が実施のハードルを上げた。来年は堅調成長を見込む一方、雇用増が伴う必要があり、次の雇用統計が悪化方向を示すリスクを警戒している。","https://www.foxbusiness.com/economy/federal-reserve-interest-rate-decision-december-2025"
2025-12-04,"David Kostin",4,"Equities","中期","2025年は「関税ショック（“Liberation Day”）後の乱高下」を経たが、足元は落ち着きつつあり、2026年に向けた“セットアップは悪くない”というトーン。","https://www.goldmansachs.com/insights/goldman-sachs-exchanges/from-assets-to-alpha-david-kostin-on-us-equities"
2025-12-04,"David Kostin",3,"Equities","中期","最大の関心事「AIバブル」について、“公的市場はバブルではないが、プライベート市場はバブル化し得る”と明確に二分。","https://www.goldmansachs.com/insights/goldman-sachs-exchanges/from-assets-to-alpha-david-kostin-on-us-equities"
2025-11-26,"Dubravko Lakos-Bujas",5,"Equities","長期","S&P 500について、年末2026年=7,500（さらに利下げが進めば8,000超えも）という強気シナリオを提示。根拠は「米国景気の底堅さ」とAI投資（capex）の“supercycle”、および今後2年で年13–15%のEPS成長見込み。","https://www.reuters.com/business/finance/jp-morgan-sees-sp-500-7500-by-end-2026-double-digit-gain-here-2025-11-26/"
2025-12-01,"Bankim “Binky” Chadha",5,"Equities","長期","S&P 500は2026年末に8,000（記事では18%上昇）を想定。AI主導の一部銘柄偏重から、利益成長の裾野拡大（broadening）が進むことが主因で、高バリュエーションでも景気循環の中で正当化され得るとみる。","https://www.businessinsider.com/stock-market-outlook-2026-sp500-valuations-pe-multiples-bankim-chadha-2025-12"
2025-12-15,"Mike Wilson",5,"Equities","中期","FOMC後、2026年に向けた株式強気見通しを補強したとし、特に「利下げ」よりも月400億ドルのT-Bills購入再開を重視。市場安定がFRBの政策に強く影響し、国債増発下で「（FRBが）資金調達面で財務省を助ける役割」も帯びやすい","https://www.morganstanley.com/ideas/thoughts-on-the-market-wilson"
2025-12-08,"Mike Wilson",4,"Equities","中期","個人投資家向けに2026年の株式見通しを議論し、基調としては強気だが「道中（point-to-point）はボラティリティが高くなる」点を強調。リスク要因としてインフレを挙げつつ、ポートフォリオは“上下動に耐える設計”が重要","https://www.morganstanley.com/ideas/thoughts-on-the-market-wilson"
2025-12-23,"Edward Yardeni",4,"Macro","中期","実質GDPの強さと「生産性主導（Roaring 2020s）」を再確認。雇用時間が伸びなくてもGDPが伸びている点を、生産性の上振れとして解釈","https://www.yardeniquicktakes.com/remind-us-why-did-the-fed-ease/"
2025-12-22,"Edward Yardeni",3,"Macro","中期","貴金属高騰を「景気後退シグナル」とは見ず。一方で、翌年の金融・財政の“過度な刺激”懸念が価格に反映されている可能性を示唆。","https://www.yardeniquicktakes.com/why-are-precious-metals-getting-more-precious/"
2025-12-21,"Edward Yardeni",5,"Equities","中期","年末ラリー継続を前提に、2026年は「業績主導でS&P500 +10%超」を想定し、7700を提示。","https://www.yardeniquicktakes.com/market-call-51/"
2025-12-24,"Lori Calvasina",3,"Equities","中期","2026年はバリュー寄りにし、ヘルスケア・通信を比率引き上げ。金融・素材は高め維持、一般消費財は低め維持。","https://www.rbccm.com/en/story/story.page?dcr=templatedata%2Farticle%2Fstory%2Fdata%2F2025%2F12%2Four-year-ahead-us-sector-outlook-seeking-out-value"
