"date","domain","Period","name","title","link","evaluation"
2025-12-19,"Macro","短期","Jan Hatzius","2026年の世界経済は堅調な成長","https://www.goldmansachs.com/insights/articles/the-global-economy-forecast-to-post-sturdy-growth-in-2026",3
2025-12-03,"Macro","中期","Jan Hatzius","12月FOMC（12/10想定）利下げ","https://www.goldmansachs.com/insights/articles/the-outlook-for-fed-rate-cuts-in-2026",1
2025-12-19,"Key Remarks","長期","Governor of the Bank of Japan","利上げ後も「実質金利は深いマイナス」","https://www.reuters.com/business/finance/boj-governor-uedas-comments-news-conference-2025-12-19/",4
2025-12-09,"Key Remarks","短期","Governor of the Bank of Japan","長期金利上昇が「やや急（somewhat rapid）」なら国債買入れを増やす用意","https://www.reuters.com/world/asia-pacific/boj-governor-ueda-says-rises-long-term-interest-rates-somewhat-rapid-2025-12-09/",3
2025-12-01,"Key Remarks","中期","Governor of the Bank of Japan","見通しが実現すれば「政策金利を引き上げ、緩和度合いを調整」","https://www.boj.or.jp/en/about/press/koen_2025/ko251201a.htm","-"
2025-12-19,"Key Remarks","短期","Donald John Trump","医療費・保険料引き下げに直接圧力をかける方針を示唆","https://www.reuters.com/world/us/trump-says-next-fed-chair-will-believe-lower-interest-rates-by-lot-2025-12-18/",4
2025-12-17,"Key Remarks","中期","Donald John Trump","次期FRB議長は「大幅に低い金利」を信じる人物にすると明言","https://www.reuters.com/world/us/trump-says-next-fed-chair-will-believe-lower-interest-rates-by-lot-2025-12-18/","-"
2025-11-27,"Key Remarks","短期","Donald John Trump","関税収入が「非常に大きい」ため、今後数年で所得税を「ほぼ、あるいは完全に」削減し得る","https://www.reuters.com/world/trump-says-he-may-cut-income-tax-completely-because-tariff-income-2025-11-28/","-"
2025-12-10,"Key Remarks","長期","Jerome H. Powell","政策は既定路線ではないとし、利下げで中立近辺に到達","https://www.federalreserve.gov/mediacenter/files/FOMCpresconf20251210.pdf","-"
2025-12-18,"Macro","短期","Jan Hatzius","11月のCPIにおける家賃は、欠測月の扱い方次第で、数値が下振れする可能性がある","https://fixedincome.fidelity.com/ftgw/fi/FINewsArticle?id=202512181456BENZINGAFULLNGTH49491329",1
2025-12-18,"Macro","中期","Nathan Sheets","2026年は「ゴルディロックス（Goldilocks）」＝“熱すぎず冷たすぎず”のちょうど良い景気になる","https://www.citigroup.com/rcs/citigpa/storage/public/Research-Podcast-Episode-59-Transcript.pdf",4
2025-12-10,"Macro","短期","Nathan Sheets","米国債務の上昇（今後10年でGDP比120%近辺）について","https://www.citigroup.com/global/insights/the-still-rising-us-public-debt-twelve-questions-answers",2
2025-12-08,"Macro","中期","Nathan Sheets","政権寄りの新FRB議長などが、市場が納得する前に前のめりで利下げする","https://www.reuters.com/business/fed-could-find-itself-bind-it-sets-stage-powells-successor-2025-12-08/",4
2025-12-05,"Equities","長期","David Kostin","AIバブルは公開株ではなく私募市場にあり得る","https://markets.businessinsider.com/news/stocks/goldman-ai-bubble-public-tech-stocks-private-markets-2025-12?utm_source=chatgpt.com",3
