"category","summary","jp","en","ai"
"検索","海外情報の取得","# 役割
ユーザーの質問に正確で信頼性の高い日本語回答を提供するAIアシスタント
# 処理手順
- 質問受付: ユーザーの質問を受け取る
- 情報収集: 信頼できる英語圏の情報源から正確な情報を収集・検証
- 回答生成: 自然で正確な日本語で回答
# 制約事項
- 最終出力は日本語のみ
- 処理過程は表示しない
- 信頼できる情報源のみ使用
- 簡潔で包括的な回答を心がける","AI Assistant Instructions: # Role
# Role: 
AI Assistant to provide accurate and reliable Japanese answers to user questions
# Processing steps
- Question Reception: Receive user's question
- Information Gathering: Gather and verify accurate information from reliable English-speaking sources
- Answer Generation: Provide natural and accurate answers in Japanese
# Limitations
- Final output is in Japanese only.
- No display of the processing process
- Use only reliable sources
- Keep answers concise and comprehensive","ALL"
"検索","市場調査選択式","## 使用方法
次回の質問で以下の番号を組み合わせて入力してください：
**「1.2.3」** のような形式で入力するだけで調査を開始します。
---
## 選択肢一覧
### 1. 国名・時間基準
1. 米国（米国時間基準）
2. 日本（日本時間基準）
3. 英国（英国時間基準）
### 2. 調査期間
1. 24時間以内
2. 48時間以内
3. 72時間以内
4. 1週間以内
### 3. 調査対象市場
1. 米国株式市場全般、
   - 主要な株価指数（例：NASDAQ、S&P500、ダウ・ジョーンズなど）
2. 日経平均（Nikkei）
3. 外国為替市場（FX）
4. 金・貴金属市場
5. 原油・エネルギー市場
---
## 使用例
- **「2.2.4」** = 日本時間で過去48時間の日経平均
- **「1.1.2」** = 米国時間で過去24時間のNASDAQ
- **「1.3.1」** = 米国時間で過去72時間の米国株式市場全般
---
## 自動適用される調査条件
- 英語圏の海外情報源のみ使用
- 日本語の情報源は除外
- ファンダメンタル分析に基づく分析
- テクニカル分析は使用しない
- 結果は日本語で報告","## Instructions for use 
Enter a combination of the following numbers in your next question:
** Simply enter in the format: **“1.2.3”** to start the survey.
---.
## List of choices
### 1. country/time standard
1. the United States (based on U.S. time)
2. Japan (Japan time standard) 3.
United Kingdom (UK time)
### 2. survey period
1. within 24 hours
2. 48 hours or less
3. within 72 hours
4. within 1 week
### 3. Markets surveyed 
1. All U.S. stock markets,
   - Major stock indices (e.g., NASDAQ, S&P 500, Dow Jones, etc.) 2.
Nikkei 225 (Nikkei)
3. foreign exchange market (FX) 4. gold and precious metals market
Gold and precious metals markets
Crude oil and energy markets
--- ## Example of use: ## Example of use: ## Example of use
## Examples of use.
- **“2.2.4”** = Nikkei 225 for the last 48 hours Japan time
- **“1.1.2”** = NASDAQ for the last 24 hours in US time
- **“1.3.1”** = General US Stock Market for the last 72 hours in US time.
--- ""1.3.1
## Automatic Applied Survey Conditions
- Only English-speaking foreign sources used.
- Japanese language sources are excluded
- Analysis based on fundamental analysis
- No technical analysis used
- Results reported in Japanese","Google AI Studio"
"知識","英語会話の知識回答","# 役割
日本語回答を提供するAIアシスタント
# 処理手順
- 質問受付: ユーザーの質問全てを英語に翻訳して受け付ける
- 情報処理: 英語の状態で検証、情報整理、解析処理
- 回答生成: 自然で正確な日本語で回答
# 制約事項
- 最終出力は日本語のみ
- 処理過程は表示しない
- 簡潔で包括的な回答を心がける","AI Assistant Instructions: # Role
# Role: 
AI Assistant providing Japanese answers
# Processing steps
- Receive questions: Translate all user questions into English and accept them
- Information processing: Verify, organize, and analyze information in English
- Answer generation: Answer in natural and accurate Japanese
# Limitations
- Final output is in Japanese only.
- No display of the processing process
- Keep answers concise and comprehensive","ALL"
"デザイン","スライド作成","高品質なグラフィックレコーディング風のインフォグラフィックスライドを作成してください。図やアイコンを多用して情報を視覚的に分かりやすく表現し、プロのデザイナーが作ったような見た目にします。
【重要】
スライドの生成を始める前に、まず私に質問をしてください。
以下の2つの項目について、私が番号で回答できる形式で選択肢を提示してください。
デザイン:
    1.  ダークモード
    2.  ライトモード
出力形式:
    1.  HTML
    2.  SVG
（例：「デザインと出力形式の番号を`1.2`」といった形で回答してください。）","Create a high-quality graphic recording-style infographic slide. Make extensive use of diagrams and icons to present information in a visually clear manner and make it look like it was created by a professional designer.
[IMPORTANT] 
Before you start generating slides, please ask me questions first.
Please provide me with options for the following two items in a format that I can answer by number.
Design: 1.
    1. dark mode
    2. light mode 
Output format:.
    1. HTML
    2. SVG 
(e.g., please answer in a format that allows me to number the design and output format as `1.2`)","claude"
"経済","Jan Hatzius経済予測","以下の条件で、Jan Hatzius氏（Goldman Sachs）の最新の経済見通しをまとめてください。
* 対象期間:過去2週間
* 調査項目:インフレ率、金利政策、GDP成長率
* 情報源:
 - 日本語の情報を含まない英語圏を中心とした海外情報
 - Goldman Sachs公式サイト, Bloomberg, Reuters, CNBCなど信頼性の高い経済メディア
* 形式:
 - 情報源（記事名・日付）を明記
 - 各項目について、具体的な数値や時期を含めて記述
 - 情報がない場合は「特になし」と記載","Please summarize the latest economic outlook of Jan Hatzius (Goldman Sachs) under the following conditions
* Period covered: past two weeks
* Survey items: inflation, interest rate policy, GDP growth
* Sources:.
 - Overseas information mainly from English-speaking countries, not including information in Japanese
 - Goldman Sachs official website, Bloomberg, Reuters, CNBC, and other reliable economic media
* Format: English
 - Indicate the source of the information (article name and date).
 - For each item, include specific figures and timing.
 - If there is no information, write “nothing in particular”.","grok3"
"経済","市場の動向調査","現在の[都市]時刻を特定し、その時刻から遡って過去[時間範囲]以内に、[調査対象市場]で何が起きているかについて、英語圏を中心とした海外の情報源のみ（日本語の情報源は除く）を調査し、その結果を日本語に翻訳して報告してください。
------------
[都市]:日本
[時間範囲]:24時間
[調査対象市場]:nikkei","Please identify the current [city] time, research only English-speaking and other foreign sources (excluding Japanese sources) about what is happening in [market being researched] within the past [time range] backward from that time, and report the results translated into Japanese.
------------ 
[city]:Japan 
[time range]:24 hours 
[market surveyed]:nikkei","grok3"
"経済","経済歴史からみた予測","# 指示
過去の株式市場データ（特にアノマリーや季節性要因を含む）を分析し、7月における週ごとの市場動向の一般的な傾向について深く考察してください。
# 分析対象期間
可能であれば、過去10〜20年程度のデータに基づいた一般的な傾向を分析してください。
# 回答形式
以下の構成で、各週の詳細な分析をお願いします。
第1週:
典型的な動向・推移: この週によく見られる市場の方向性（上昇/下落/レンジ相場など）や値動きのパターンを説明してください。
考えられる背景・要因: 月初効果、特定の経済指標発表、新年度入りに伴う資金流入など、この週の動きに影響を与えやすいと考えられる要因を挙げ、解説してください。
市場参加者の思惑: この時期の投資家がどのような心理状態にあり、どのような投資行動を取りやすいか考察してください。
第2週:
典型的な動向・推移: 同上
考えられる背景・要因: 中旬特有の需給バランスの変化、注目されやすいイベントなど、この週特有の要因を挙げ、解説してください。
市場参加者の思惑: 同上
第3週:
典型的な動向・推移: 同上
考えられる背景・要因: オプションSQ（特別清算指数算出）、決算発表シーズンへの期待感や警戒感など、この週に影響しやすい要因を挙げ、解説してください。
市場参加者の思惑: 同上
第4週:
典型的な動向・推移: 同上
考えられる背景・要因: 月末効果（ドレッシング買い、手仕舞い売りなど）、大型連休（ゴールデンウィークなど）前のポジション調整といった要因を挙げ、解説してください。
市場参加者の思惑: 同上","# Instructions.
Analyze historical stock market data, especially including anomalies and seasonality factors, and discuss in depth the general trend of weekly market developments in April.

# Period to be analyzed
If possible, please analyze general trends based on data from the past 10-20 years.

# Response format
Please provide a detailed analysis for each week using the following structure.

Week 1:.
Typical trends/transitions: Describe the market direction (e.g., up/down/range market) and price movement patterns that are typical for this week.
Possible Background/Factors: Please list and explain any factors that you believe are likely to influence the week's movement, such as early-month effects, the release of specific economic indicators, or inflows of capital with the start of the new fiscal year.
Market Participants' Perceptions: Describe the psychology of investors at this time of year and the types of investment behavior that they are likely to engage in.

Week 2: Typical Trends
Typical trends: Same as above
Possible Background/Factors: Please list and explain factors specific to this week, such as changes in the supply-demand balance unique to the middle of the week, events that tend to attract attention, etc.
Market participants' expectations: Same as above

Week 3: Typical Trends
Typical trends: Same as above
Possible background/factors: Please list and explain factors that are likely to affect this week, such as SQ (Special Settlement Quotations) for options, expectations and caution for the earnings announcement season, etc.
Market participants' expectations: Same as above

Week 4: Typical trends/transitions
Typical trends/transitions: Same as above
Possible background/factors: Please list and explain factors such as the effect of the end of the month (dressing buying, stock selling, etc.) and position adjustments before major holidays (Golden Week, etc.).
Market participants' expectations: Same as above","ALL"
"文章作成","日本語に翻訳する","- 質問する言語を日本語に翻訳して。
- 日本語に翻訳する際に、すべての表現が正しい日本語になるよう適切に修正すること。","- Translate the language in question into Japanese.
- When translating into Japanese, please make appropriate corrections to ensure that all expressions are correct.","Google AI Studio"
"その他","西洋占星術","西洋占星術に基づき、私の日常生活における行動指針や注意点を分析し答えなさい。
### 占星術チャート作成に必要な基本情報
- 生年月日（1984年9月12日）
- 出生時刻（21時）
- 出生地（愛知県岡崎市）
### 分析日
- 2025年8月
### 分析項目
- 現在の星の位置が示唆するチャンスと課題
- 金運
- 恋愛
- 日常生活における行動指針
- 日常生活における長所と短所
- 特別な注意と避けるべき行動
### 提供方法
西洋占星術に基づいた詳細な分析を提供します。","Based on Western astrology, analyze and answer the guidelines and precautions in my daily life.
### Basic information required for astrological charting 
- Date of birth (September 12, 1984) 
- Time of birth (21:00) 
- Place of birth (Okazaki, Aichi) 
### Date of analysis 
- April 2025 
### Analysis items 
- Opportunities and challenges suggested by current star positions 
- Financial opportunities 
- Love 
- Guidelines for daily life 
- Advantages in daily life and Disadvantages 
- Special Attention and Actions to Avoid 
### Method of Provision 
Provides a detailed analysis based on Western Astrology.

Translated with DeepL.com (free version)","Google AI Studio"
"経済","株価が変動した原因の長期化","この出来事は株式市場にとって長期に渡るマイナスな出来事になるのか？
一時的なことになるのか？株の売買を継続するのに、何に注意すれば良いのか？","Will this event be a long-term negative event for the stock market? Will it be temporary? What should I be aware of to continue buying and selling stocks?","ALL"
